vex	使惱火
esoteric	深奧的；只有少數人懂的
ethereal	飄渺的
execrate	憎恨
feckless	無效的
flippant	輕浮的
harangue	激烈演說
hedonist	享樂主義者
hegemony	霸權
hermetic	密封的；深奧的
inchoate	初步的；未成熟的
incisive	銳利的
indigent	貧窮的
indolent	懶惰的
inimical	不利的；敵意的
jettison	拋棄
lapidary	寶石的；言語精練的
malinger	裝病逃避工作
manifold	多樣的
maverick	特立獨行者
mitigate	減輕
moribund	垂死的
obdurate	頑固的；冷酷的
pellucid	清澈的
prodigal	揮霍的
quagmire	泥淖；困境
quandary	困境
quixotic	不切實際的
raillery	逗趣
redolent	充滿…氣味的；讓人想起…的
reticent	沉默的
salutary	有益的
sanguine	樂觀的
sinecure	閒職
specious	似是而非的
spurious	偽造的
strident	刺耳的
taciturn	沉默寡言的
temerity	魯莽
ubiquity	普遍存在
unctuous	虛情假意的
venerate	尊敬
veracity	誠實
visceral	內心的；本能的
volatile	易變的
acquiesce	默許
adulation	諂媚
adumbrate	預示；略微暗示
amorphous	無定形的
antipathy	反感
aspersion	誹謗
assiduous	勤奮的
attenuate	減弱
beleaguer	圍攻
bellicose	好戰的
bombastic	誇大的
cacophony	刺耳聲
cathartic	宣洩情緒的
chicanery	詭計；狡辯
coagulate	凝固
conundrum	難題
convivial	歡樂的
corpulent	肥胖的
credulous	輕信的
demagogue	煽動者
desiccate	使乾燥
desultory	散漫的；無計劃的
dichotomy	二分法
disparage	貶低
disparate	迥然不同的
dissemble	掩飾
egregious	極壞的
emollient	潤膚劑
empirical	經驗主義的
ephemeral	短暫的；轉瞬即逝的
excoriate	嚴厲批評
exculpate	開脫
execrable	極壞的；令人厭惡的
expatiate	詳述
facetious	滑稽的
fractious	易怒的
garrulous	喋喋不休的
grandiose	浮誇的
heterodox	異端的
imbroglio	糾葛
immutable	不可改變的
impetuous	魯莽的
ineffable	難以言喻的
ingenuous	率直的
insidious	暗中危害的
invective	辱罵
invidious	招人怨恨的
juxtapose	並列
libertine	放蕩者
maladroit	笨拙的
mendicant	乞丐
nefarious	惡毒的
neologism	新詞
obfuscate	使模糊；使混亂
obsequies	葬禮
officious	多管閒事的
oppobrium	辱罵
ostracize	放逐
panegyric	頌詞
parsimony	吝嗇
pell-mell	混亂地
penurious	吝嗇的
plaintive	哀傷的
prescient	有先見的
propriety	得體
querulous	愛抱怨的
quiescent	靜止的
reclusive	隱居的
recondite	晦澀的；深奧的
reprobate	道德敗壞者
repudiate	否認
sagacious	睿智的；有遠見的
soporific	催眠的；令人昏昏欲睡的
transient	短暫的
trenchant	犀利的
truculent	尖酸刻薄的；好鬥的
turpitude	卑鄙；墮落
untenable	站不住腳的
vacillate	動搖
venerable	令人尊敬的
aberration	偏差；異常現象
abstemious	節制的
ameliorate	改善
apocryphal	虛假的
beneficent	慈善的
capitulate	投降
capricious	變化無常的
colloquial	口語的
diaphanous	半透明的
dilettante	業餘愛好者
dissonance	不和諧
ebullience	熱情洋溢
effrontery	厚顏無恥
equanimity	鎮靜；平靜
equivocate	含糊其詞
evanescent	迅速消失的
fallacious	謬誤的
fastidious	挑剔的；講究的
felicitous	貼切的
fortuitous	偶然的
grandstand	譁眾取寵
gregarious	愛社交的；群居的
iconoclast	反傳統者
implacable	難平息的
incendiary	煽動的
inexorable	不可阻擋的
ingratiate	討好
insouciant	無憂無慮的
interloper	闖入者
inveterate	根深蒂固的（習慣、偏見等）
jingoistic	沙文主義的
lachrymose	愛哭的；催淚的
mendacious	虛假的；捏造的
munificent	慷慨的
nonchalant	冷淡的
nonplussed	困惑的；不知所措的
obsequious	諂媚的；逢迎的
opprobrium	辱罵
palimpsest	重寫本；歷史痕跡
peccadillo	小過失
pejorative	貶義的
perfidious	背信棄義的
pernicious	致命的
phlegmatic	冷靜的；遲鈍的
precocious	早熟的
pugnacious	好鬥的
refractory	倔強的
sacrosanct	神聖不可侵犯的
salubrious	有益健康的
scurrilous	惡意中傷的
tantamount	等同於
ubiquitous	無所不在的
vociferous	喧嚷的；大聲疾呼的
xenophobia	排外主義
anachronism	時代錯誤
approbation	認可；讚許
camaraderie	同志情誼
castigation	懲罰
circumspect	謹慎的；慎重的
commiserate	同情
complaisant	彬彬有禮的
concomitant	伴隨的
contentious	好爭辯的
corroborate	證實
deleterious	有害的
efficacious	有效的
ignominious	可恥的；不名譽的
importunate	糾纏不休的
inscrutable	難以理解的
internecine	內鬥的
legerdemain	戲法；巧妙手法
lucubration	苦學
magnanimous	寬宏大量的；有雅量的
mellifluous	悅耳動聽的
milquetoast	膽小的人
misanthrope	厭世者
munificence	慷慨
perfunctory	敷衍的；馬虎的
precipitate	突然發生的
prevaricate	支吾
pulchritude	美貌；（尤指女性的）體態美
remonstrate	抗議
solipsistic	唯我主義的
unflappable	鎮定的
vicissitude	變遷；興衰
blandishment	奉承
commensurate	相稱的
contumacious	頑固反抗的
disconsolate	鬱鬱寡歡的
effervescent	活潑的；興奮的
magniloquent	言語誇張的
meretricious	華而不實的
obstreperous	喧鬧的
parsimonious	吝嗇的
predilection	偏好
recalcitrant	不服從的
supercilious	高傲的
vituperative	謾罵的；責罵的
anachronistic	時代錯誤的
conflagration	大火
grandiloquent	誇張的；浮誇的
imperturbable	冷靜的
indefatigable	不屈不撓的
perspicacious	有洞察力的
defenestration	拋出窗外
verisimilitude	逼真
